company,category_main,category_sub,question,answer
기아,차량 구매,일반,EV케어 프로그램이란 무엇인가요?,"기아 EV를 구매한 기아멤버스 회원이시라면 EV스타일케어, EV세이프티 케어에 가입하실 수 있습니다.

기아EV케어"
기아,차량 구매,일반,광고성 정보 수신 동의 확인 문자/이메일을 받았습니다.,"기아차량 보유 고객 중 광고성 정보 수신에 동의하신 고객님께 수신동의 여부를 확인하는 메시지 입니다.

이는 광고성 정보 수신에 동의한 고객님께 2년마다 수신동의 여부를 확인하는 것이 의무화 되면서 수신동의 확인을 위해 메시지를 발송해드렸습니다.

또한, 수신 동의 철회 시 상품정보, 혜택정보, 프로모션 및 이벤트 안내 등을 받아보실 수 없으며, 광고성 정보 수신동의 철회 시 고객센터(080-200-2000)로 문의하여 주시기 바랍니다."
기아,차량 구매,일반,기아 전기차 구매시 보조금은 어떻게 되나요?,"전기차 보조금은 전기차를 구매할 때 정부와 지자체에서 정한 전기자동차 보조금 지원대상 자동차를 신규로 구매해 국내에 등록할 경우 보조금을 지급하는 제도입니다.

(구매보조금 지급 상한액은 아래표를 참고해주세요.) 

EV & PBV 카탈로그/가격표 바로가기 >"
기아,차량 구매,일반,All-new Niro EV에 적용된 특화 기술은 어떤 게 있나요?,"The All-new Niro EV에는 경제성과 편의성을 높이는 다양한 EV 특화 기술이 적용되어 있습니다.

 

① 배터리 컨디셔닝 

· 외부 온도가 낮을 때 배터리 온도를 최적화해 주행성능 유지 및 충전 시간 단축, 급속충전소를 목적지로 설정하면 배터리 온도를 미리 최적화해 도착 즉시 충전 가능하게 합니다.

 

② 히트 펌프 & 배터리 히팅 시스템 

· 고효율 난방 시스템인 히트 펌프 및 배터리 히팅 시스템 적용으로 겨울철 실 주행거리 및 충전시간을 확보합니다.

 

③ 스마트 회생제동 시스템 2.0 

· 전방 교통 흐름 및 내비게이션 지도 정보, 운전자 감속 패턴 정보를 이용하여 회생제동량을 자동 조절하는 기능으로 주행 효율성을 향상시킵니다.

 

④ i-PEDAL 모드

· 가속 페달만을 이용하여 가속 및 감속, 정차까지 가능한 원 페달 주행모드입니다."
기아,차량 구매,일반,기아 표준 서비스 용품이 무엇인가요?,"기아는 이면 할인 판매 및 과다 서비스 용품 제공 행위를 금지하고, 공정한 판매 실천과 고객님께 최고의 서비스를 제공해 드리고자 차량 구입 시 표준 서비스 용품을 드리고 있습니다.

표준 서비스 용품은 차량 계약 시 썬팅 시공권과 기아 컬렉션 KIT 중 택1하여 선택하실 수 있습니다.

* 하기 구성품은 2020년 2월 기준이며, 서비스 용품 및 구성품은 변경될 수 있습니다.

 

① 썬팅 시공권

· 썬팅 필름은 현재 9종의 품목을 운영 중이며 PC 또는 모바일에서 지역별 시공점 및 필름 브랜드를 조회하실 수 있습니다.

· 썬팅 시공 후에는 차량용 먼지떨이개를 추가 지급해드립니다.

 

② 기아 컬렉션 KIT

· 차량 출고 후 계약 시 신청하신 배소 주소지로 택배 발송해드립니다.

· 구성품목(6종) : 트렁크 정리함, 멀티 담요, 차량용 먼지떨이개, 목베개, 전면 유리커버, LED 라이트 바 풀 세트

기아 온라인 썬팅시공점 및 필름 브랜드 조회"
기아,차량 구매,일반,시승 신청은 어떻게 해야 하나요?,"기아는 시승체험 편의 고객만족을 위해 다양한 시승서비스를 제공하고 있습니다. 고객님께서 희망하시는 가까운 센터에서 최고의 서비스를 직접 만나실 수 있습니다. 

시승 신청은 기아 홈페이지(www.kia.com) 회원가입 및 로그인 후 신청하실 수 있으며, 예약 취소 시 재신청은 1주일 후부터 가능합니다.  

 

* 시승 예약 절차 : 기아 시승서비스는 고객님께서 시승 예약 시 지정하신 동승 영업 담당과 시승 가능여부 확인 후 예약이 확정됩니다.

시승 신청 바로가기 >"
기아,차량 구매,일반,기아 통합 계정이 무엇인가요?,"기아 통합 계정은, 기아닷컴 / 기아멤버스 홈페이지 / MyKia 모바일 앱 / 기아 디지털키 / Kia Connect 등 기아에서 제공하는 서비스를 사용하기 위한 계정으로, 하나의 ID로 모든 서비스를 이용할 수 있습니다.

* 단, 로그인 후 각 서비스 별로 추가적인 서비스 가입이 필요합니다.

* 기아닷컴 / 기아멤버스 홈페이지 / MyKia에 가입 시도 시, 정상적으로 가입이 이루어지지 않은 경우에는 기타 서비스(Kia Connect 등)의 가입 여부를 먼저 점검해 보시기 바랍니다. 타 서비스 가입 이력이 있다면 별도 가입 절차 없이 해당 ID로 로그인 및 서비스 이용 가능합니다."
기아,차량 구매,일반,상승 내장탑차가 무엇인가요?,"상승 내장탑차는 단, 1대로 저상형에서 플러스형 높이까지 조절이 가능한 탑차입니다. 

탑과 캐빈이 유사한 높이로 설계되어 지하주차장 출입이 용이한 저상형 높이부터  넓은 적재용적으로 높은 수용효율을 제공하는 플러스형 높이까지 조절이 가능합니다."
기아,차량 구매,일반,스마트 드라이브 케어(Smart Driver Care)가 무엇인가요?,"Smart Driver Care란 차량 주행 정보를 기반으로 운전습관 분석을 통해 안전운전점수 70점 이상을 달성한 고객의 보험료를 추가 할인해 드리는 혜택으로 기아와 현대해상 간의 제휴를 통해 UVO 장착 차량을 대상으로 한 UBI 특약보험입니다. 

* UBI = Usage Based Insurance 의 줄임말로 “운전습관기반보험” 을 의미함  

· 명칭 : Smart Driver Care

· 판매개시 : ‘19년 6월 13일 

· 보험사 : 현대해상 (커넥티드카 UBI특약) 

· 가입방법 : UVO 서비스 이용 고객이 자동차 보험 가입 시 운행 데이터 제공에 동의하면  이를 기반으로 안전운전점수 70점 이상 획득 시 UBI 특약 할인 적용 

· 고객혜택 : 자동차 보험료 할인 12% = UVO 장착 할인 7% + UBI 할인 5%

 

안전운전점수

· 최근 90일 이내 1,000km 주행거리를 기준으로 UVO 앱을 통한 운전습관 분석 결과를 토대로 안전운전 점수 부여

기아자동차 UVO

· 스마트폰을 활용하여 차량을 원격제어 및 관리하는 어플리케이션 시스템

현대해상 UBI

· 차량 운전 데이터에 기반하여 안전 운전자에게 자동차 보험료를 할인해주는 특약보험

안전운전(UBI) 할인

· UBI 특약 가입 시점 기준, 보함 만기까지 잔여기간 내 할인율 적용

 

* 보험관련 자세한 사항은 현대해상 고객센터(1588-5656)를 통해 확인하실 수 있습니다."
기아,차량 구매,일반,LPG 연료 차량의 장점이 무엇인가요?,"① 합리적인 차량 가격


· LPG를 연료로 하는 LPI 차량의 장점은 동급 가솔린 모델보다 차량 가격이 합리적입니다. 

② 저렴한 LPG 연료 가격

· LPG 연료 가격이 저렴하여 가솔린 대비 경제적입니다. 

· LPI 차량의 연비가 가솔린 차량보다 다소 낮지만 연료 가격이 가솔린 가격보다 저렴한 부분이 훨씬 크므로 결과적으로 25~30% 정도 유지 비용이 저렴합니다.

③ 환경기여

· 환경부 기준 미세먼지를 유발하는 질소산화물 배출량이 경유차 보다 7.5배 이상 적어 환경에 기여합니다."
